Person,Sentence
Person3,"If you have any questions following this part of the session, please call our Media Relations team at 312-544-2002.
"
Person3,"Operator, we're ready for the first question and, in the interest of time, we ask that you limit everyone to just one question, please.
"
Person1,"Hi, <UNK>.
"
Person1,"Yes, <UNK>, let me give you a little context around this because when we pursue productivity and cost competitiveness, we look at all categories of cost.
"
Person1,"So certainly, direct labor costs, head count is one of those, but there are many other factors.
"
Person1,"In fact, other factors that are larger than direct head count, indirect costs, overhead, infrastructure, facilities, supply chain.
"
Person1,"As a reminder, a good portion of our cost is outside of Boeing, so that's where our partnering for success initiative comes in.
"
Person1,"So we have set cost reduction and productivity targets that span all of those cost categories.
"
Person1,"In some cases that does put pressure on head count, and you've seen that, but it's not something where we set a head count target or apply the same formula everywhere.
"
Person1,"It's really important that we give our business leaders and functional leaders the flexibility to tailor their cost structure to be competitive.
"
Person1,"So it's not a one-size-fits-all and the business dynamics are very different in different parts of our businesses and different sites.
"
Person1,"So that's important from an overall context standpoint.
"
Person1,"Now, the reductions that we're making in Puget Sound, that you've seen in the news, again, those are being done within this overall cost-reduction effort and also being done in a way that's very mindful and respectful of our employees.
"
Person1,"We are starting first, as you noted, with voluntary layoff packages and or attrition.
"
Person1,"I think it's a good reminder that in a Company of about 160,000 people, normal annual attrition is about 4% to 5%, just when you look at the work-force demographics.
"
Person1,"So that alone provides us some flexibility on how we can make head-count reductions and do it in a way that's mindful and respectful of our employees.
"
Person1,"And so that's where we start.
"
Person1,"In some cases we have had to do involuntary layoffs, but that tends to be on the margins and done very selectively where we don't have other options.
"
Person1,"So that's our game plan going forward.
"
Person1,"I won't give you any specific head-count targets, because that's not the way we do our business.
"
Person1,"We set cost reduction productivity targets; we look at all elements for our cost structure, and if it comes down to direct head count, we deal with that in a way that's very respectful of our employees and trying to do our best to help them transition when that does become a necessity.
"
Person2,"Hey, John.
"
Person2,"Well, <UNK>, I would say our accounting is compliant with GAAP.
"
Person2,"That's first and foremost and that's what it is and, obviously, Airbus is under a different accounting standard and they're adhering to that one.
"
Person2,"So that's our focus; that's our priority; and that's how we account for everything we do within the business.
"
Person2,"As far as focus on cash, I think just like any business, it's about the bottom line at the end of the day, no matter what accounting standard you're under.
"
Person2,"It's about how efficient you are with your cash and how effective you are with managing that and deploying it.
"
Person2,"So I wouldn't view our focus on cash, frankly, any different than any other business that, at the end of the day, it's all about what's left over and what your costs were and what you sold your product for and then what do you do with it.
"
Person2,"An we're trying to keep it simple, in that regard, because, ultimately, we want to reinvest in the future and we want to return cash to those that are putting their trust in us through the shareholder base and invest in our people, and that's the priorities.
"
Person2,"Good morning, <UNK>.
"
Person1,"<UNK>, let me field both of those.
"
Person1,"So, first of all, on head count, as I said earlier, we have set some aggressive cost and cost reduction and productivity targets for the year that are aligned with our overall business strategy; and we are looking at all categories of cost, and that includes beyond head count, both in our internal, indirect costs, as well as in our supply chain and I think it's important that we continue to keep that in mind.
"
Person1,"Our direct head count is one important category, but not the only one, and our business leaders are looking across all of those cost categories.
"
Person1,"I will say the overall macro trend that we have for this year is that we expect employment will be net down, moderately.
"
Person1,"I can't give you a specific number there, but we are on a moderate downward trend enterprise-wide this year as we drive productivity.
"
Person1,"As I said earlier, we're also doing that trying to be very mindful of our employees.
"
Person1,"And as you know, I have a great deal of respect for our people.
"
Person1,"They are world class, they're the best in the world at what they do, and, where we can leverage attrition and the voluntary layoff programs that we've put in place, we will; and so far that approach has been very effective for us.
"
Person1,"And I think that's good for the business and good for our people, ultimately good for our customers.
"
Person1,"So that's our headset on that approach.
"
Person1,"On your second question about services, you're right.
"
Person1,"It's something that we have talked about for some time.
"
Person1,"I can tell you that we are very serious about growing our services business.
"
Person1,"So as we've laid in our strategy for the next planning cycle and, more broadly, for the next decade, that is one of our focused growth areas.
"
Person1,"The market is large, as I said, about $4 trillion over the next 20 years.
"
Person1,"We have market share room to grow, but, again, I want to emphasize that we are growing services in a growing marketplace.
"
Person1,"This is not about taking share from others or dividing up a fixed pie.
"
Person1,"This is clearly a growing marketplace, and, with the right kind of business model, this can be good for industry and our customers.
"
Person1,"We are taking very specific actions on that.
"
Person1,"Our services business leaders Stan Diehl and Ed Dolanski are teamed up.
"
Person1,"I think our one Boeing approach, where we work across commercial and defense globally is a differentiator for us.
"
Person1,"In some cases we are looking at specific parts inside of our aircraft, as you've seen in the news, where our unique OEM knowledge, we think, will provide value for our customers.
"
Person1,"In some cases we're pursuing modification and upgrade businesses, the 737 freighter conversion program, I think, is a good specific example there.
"
Person1,"And then some of the work we're doing in information-based services, like gold care and performance-based logistics; those are specific things that we're doing.
"
Person1,"So it is a focused, high-priority strategy and we have actions underway to support that strategy.
"
Person3,"Operator, we have time for one last media question.
"
Person2,"Certainly it's a factor, as we think about competing, and it goes really to the broader objective that <UNK> outlined on competing in the marketplace to win.
"
Person2,"No matter whether it's exchange rates or whether the competition being more efficient or inefficient, it's all about competing in the marketplace and, as we discussed, being able to invest going forward, and then rewarding all the stakeholders that have put their trust in us.
"
Person2,"That's fundamentally what's behind this.
"
Person2,"But, exchange rates are going to move around over time.
"
Person2,"We don't rely on exchange rates, but the fact is there's some times where there's an advantage, there's some times with a disadvantage and we have to have the flexibility in our own enterprise to be able to compete no matter what that exchange rate is.
"
Person2,"And that's the headset that we have across the team and that's the focus that's going to continue to take place going forward.
"
Person3,"That concludes our earnings call.
"
Person3,"Again, for members of the media, if you have further questions, please call our Media Relations team at 312-544-2002.
"
Person3,"Thank you.
"
